Date,Lift,Sets,Reps,Weight (LBS)
2016/03/28,deadlifts,3,8,205
2016/03/28,bench,1,12,95
2016/03/28,bench,2,10,95
2016/07/26,deadlifts,4,4,275
2016/07/28,back-squats,4,4,225
2016/07/28,ohp,4,4,75
2016/07/31,deadlifts,1,1,295
2016/07/31,bench,3,6,135
2016/08/09,deadlifts,5,4,275
2016/08/09,bench,3,6,135
2016/08/09,bench,2,10,115
2016/09/04,deadlifts,4,8,225
2017/01/18,deadlifts,3,8,245
2017/01/18,rows,4,10,135
2017/01/19,back-squats,5,5,185
2017/01/20,rows,4,10,95
2017/01/20,deadlifts,3,8,225
2017/01/21,back-squats,2,5,205
2017/01/21,front-squats,2,8,115
2017/01/23,deadlifts,4,15,135
2017/01/25,back-squats,2,12,135
2017/01/25,back-squats,2,6,185
2017/01/25,front-squats,2,12,95
2017/01/28,deadlifts,3,1,315
2017/01/28,bench,3,6,135
2017/01/29,back-squats,2,6,185
2017/01/29,back-squats,2,6,205
2017/02/09,back-squats,2,5,185
2017/02/09,back-squats,3,5,205
2017/02/09,bench,3,10,95
2017/02/11,deadlifts,2,8,245
2017/02/11,deadlifts,1,8,295
2017/02/11,ohp,3,6,95
2017/02/13,back-squats,3,4,225
2017/02/15,back-squats,3,8,135
2017/02/15,bench,3,10,105
2017/02/19,deadlifts,1,4,315
2017/02/19,deadlifts (rdl),2,16,135
2017/02/19,bench,5,5,135
2017/02/21,back-squats,4,10,115
2017/02/21,curls,3,24,25
2017/02/22,back-squats,1,1,235
2017/02/22,deadlifts,3,24,135
2017/02/27,deadlifts,1,8,135
2017/02/27,deadlifts,2,8,225
2017/02/27,deadlifts (sumo),2,8,225
2017/02/27,bench,3,6,135
2017/02/28,back-squats,1,8,135
2017/02/28,back-squats,1,8,185
2017/02/28,back-squats,3,5,225
2017/02/28,back-squats,1,10,135
2017/03/01,rows,2,8,95
2017/03/01,rows,2,10,135
2017/03/01,tricep pull-downs,3,8,120
2017/03/01,deadlifts,2,8,225
2017/03/01,deadlifts,2,4,275
2017/03/03,back-squats,3,8,165
2017/03/03,back-squats,2,12,165
2017/03/03,back-squats,1,4,165
2017/03/03,bench,3,6,135
2017/03/07,back-squats,1,8,135
2017/03/07,back-squats,1,8,185
2017/03/07,back-squats,1,3,225
2017/03/07,back-squats,1,1,275
2017/03/07,back-squats,1,1,255
2017/03/07,back-squats,1,2,255
2017/03/07,deadlifts,3,10,185
2017/03/07,curls,4,20,20
2017/03/08,bench,4,10,115
2017/03/08,row machine,1,10,85
2017/03/08,row machine,2,10,100
2017/03/09,back-squats,2,8,135
2017/03/09,back-squats,2,8,185
2017/03/09,back-squats,1,8,207
2017/03/09,deadlifts (rdl),1,10,135
2017/03/09,deadlifts (sumo),2,10,135
2017/03/09,deadlifts (clean pull),2,6,135
2017/03/13,power-cleans,2,6,95
2017/03/13,power-cleans,1,6,115
2017/03/13,power-cleans,2,1,135
2017/03/13,rows,3,10,135
2017/03/13,bench,3,5,135
2017/03/15,back-squats,1,8,135
2017/03/15,back-squats,1,2,225
2017/03/15,back-squats,4,3,225
2017/03/15,deadlifts,1,3,135
2017/03/15,deadlifts,1,3,225
2017/03/15,deadlifts,1,2,295
2017/03/15,deadlifts,1,1,315
2017/03/15,deadlifts,1,1,335
2017/03/15,deadlifts,1,3,295
2017/03/16,back-squats,1,10,135
2017/03/16,back-squats,3,12,135
2017/03/16,back-squats,2,2,225
2017/03/16,back-squats,1,1,225
2017/03/16,front-squats,1,8,135
2017/03/20,power-cleans,2,6,95
2017/03/20,power-cleans,4,1,135
2017/03/20,deadlifts,1,6,225
2017/03/20,deadlifts,3,3,315
2017/03/21,back-squats,1,8,135
2017/03/21,back-squats,1,8,185
